,highest_offense_description,year,count
1259,INDECENT EXPOSURE,2007,61
1260,INHALANT ABUSE,2007,3
1261,INJ TO DISABLED  FAM/DATE VIOL,2007,4
1262,INJ TO ELDERLY   FAM/DATE VIOL,2007,13
1263,INJ/CHILD FV (NO CARE/CUSTODY),2007,12
1264,INJURY DISABLED INDIVIDUAL,2007,8
1265,INJURY TO CHILD,2007,67
1266,INJURY TO CHILD (CARE/CUSTODY),2007,121
1267,INJURY TO ELDERLY PERSON,2007,10
1268,INTER EMERG PHONECALL FAM/DATE,2007,21
1269,INTERFERE W PO SERVICE ANIMALS,2007,3
1270,INTERFERENCE PUBLIC DUTIES,2007,18
1271,INTERFERING W/EMERG PHONE CALL,2007,11
1272,INVASIVE VISUAL RECORDING,2007,11
1273,KIDNAPPING,2007,24
1274,KIDNAPPING FAM VIO,2007,1
1275,LIQUOR LAW VIOLATION/OTHER,2007,120
1276,LITTERING,2007,84
1277,MAKING TOBACCO AVAIL TO MINOR,2007,4
1278,MANF CONTROLLED SUB - OTHER,2007,5
1279,MISAPPLY FIDUCIARY PROP,2007,5
1280,MISUSE OF OFFICIAL INFO,2007,1
1281,MONEY LAUNDERING,2007,1
1282,MURDER,2007,7
1283,NUISANCE ABATEMENT,2007,12
1284,OBSCENE DISPLAY - DISTRIBUTION,2007,2
1285,OBTAIN CONTROLLED SUB BY FRAUD,2007,28
1286,OBTAIN DANG DRUG BY FRAUD,2007,1
1287,OFFICIAL OPPRESSION,2007,3
1288,PAROLE VIOL,2007,20
1289,PIGEON DROP,2007,1
1290,POCKET PICKING,2007,2
1291,POSS CONTROLLED SUB/NARCOTIC,2007,949
1292,POSS CONTROLLED SUB/OTHER,2007,76
1293,POSS CONTROLLED SUB/SYN NARC,2007,17
1294,POSS CRIMINAL INSTRUMENT,2007,1
1295,POSS DANG DRUG,2007,64
1296,POSS OF ALCOHOL - AGE 17 TO 20,2007,86
1297,POSS OF ALCOHOL-AGE 16 & UNDER,2007,15
1298,POSS OF DRUG PARAPHERNALIA,2007,1542
1299,POSS OF FIREARM BY FELON,2007,24
1300,POSS OF PROHIBITED WEAPON,2007,41
1301,POSS/PROMO CHILD PORNOGRAPHY,2007,15
1302,POSSESSION OF FORGED WRITING,2007,1
1303,POSSESSION OF MARIJUANA,2007,612
1304,PROBATION VIOL,2007,10
1305,PROMOTION OF PROSTITUTION,2007,4
1306,PROSTITUTION,2007,175
1307,PROTECTIVE ORDER,2007,184
1308,PROWLER,2007,22
1309,PUBLIC INTOXICATION,2007,2290
1310,PUBLIC LEWDNESS,2007,15
1311,PURSE SNATCHING,2007,12
1312,RAPE,2007,168
1313,RAPE OF A CHILD,2007,25
1314,RECKLESS CONDUCT,2007,3
1315,RECKLESS DAMAGE,2007,9
1316,RESISTING ARREST OR SEARCH,2007,23
1317,RETALIATION,2007,18
1318,ROBBERY BY ASSAULT,2007,227
1319,ROBBERY BY THREAT,2007,42
1320,RUNAWAY CHILD,2007,1296
1321,SECURING EXEC-DOC BY DECEPTION,2007,1
1322,SERIOUS INJURY TO A CHILD,2007,4
1323,SEXUAL ASSAULT OF CHILD/OBJECT,2007,171
1324,SEXUAL ASSAULT W/ OBJECT,2007,61
1325,SEXUAL PERFORMANCE BY CHILD,2007,2
1326,SIT AND LIE ORDINANCE VIOL,2007,42
1327,SMUGGLING ILLEGAL ALIEN,2007,2
1328,SOLICITATION - BEGGING,2007,1
1329,STALKING,2007,88
1330,STATUTORY RAPE OF CHILD,2007,123
1331,SUSPICIOUS PERSON,2007,693
1332,TAKE WEAPON FRM POLICE OFFICER,2007,5
1333,TAMPERING WITH CONSUMER PROD,2007,3
1334,TAMPERING WITH EVIDENCE,2007,18
1335,TAMPERING WITH GOV RECORD,2007,14
1336,TAMPERING WITH ID NUMBER,2007,1
1337,TAMPERING WITH WITNESS,2007,2
1338,TERRORISTIC THREAT,2007,564
1339,TERRORISTIC THREAT-FAM/DAT VIO,2007,149
1340,THEFT,2007,5702
1341,THEFT BY CHECK,2007,28
1342,THEFT BY EMBEZZLEMENT,2007,3
1343,THEFT BY EXTORTION,2007,1
1344,THEFT BY FALSE PRETEXT/BUNCO,2007,2
1345,THEFT BY PUBLIC SERVANT,2007,1
1346,THEFT BY SHOPLIFTING,2007,152
1347,THEFT FROM AUTO,2007,320
1348,THEFT FROM BUILDING,2007,19
1349,THEFT FROM PERSON,2007,106
1350,THEFT OF AUTO PARTS,2007,120
1351,THEFT OF BICYCLE,2007,385
1352,THEFT OF HEAVY EQUIPMENT,2007,8
1353,THEFT OF LICENSE PLATE,2007,138
1354,THEFT OF METAL,2007,1
1355,THEFT OF SERVICE,2007,301
1356,THEFT OF TELECOMMUNICATION SRV,2007,1
1357,THEFT OF TRAILER,2007,64
1358,THEFT- APPROPRIATE STOLEN PROP,2007,6
1359,TOBACCO VIOL - AGE 17,2007,13
1360,TOBACCO VIOL - UNDER AGE 17,2007,34
1361,TRAFFICKING OF PERSONS,2007,6
1362,TRUANCY,2007,3
1363,UCW LICENSE PREMISE,2007,4
1364,UNLAWFUL CARRY-LIC HOLDER,2007,4
1365,UNLAWFUL CARRYING WEAPON,2007,104
1366,UNLAWFUL INTERCEPTION,2007,1
1367,UNLAWFUL RESTRAINT,2007,8
1368,UNLAWFUL RESTRAINT FAM/DAT VIO,2007,1
1369,URINATING IN PUBLIC PLACE,2007,147
1370,VIOL CITY ORDINANCE -  GAME RM,2007,4
1371,VIOL CITY ORDINANCE - AIRPORT,2007,2
1372,VIOL CITY ORDINANCE - CURFEW,2007,342
1373,VIOL CITY ORDINANCE - DOG,2007,68
1374,VIOL CITY ORDINANCE - OTHER,2007,666
1375,VIOL CITY ORDINANCE - SMOKING,2007,1
1376,VIOL CITY ORDINANCE - SOUND,2007,18
1377,VIOL CITY ORDINANCE - TITLE 10,2007,1
1378,VIOL CITY ORDINANCE - WRECKER,2007,114
1379,VIOL CITY ORDINANCE -FIREWORK,2007,9
1380,VIOL GLASS CONTAINER,2007,9
1381,VIOL OF COURT ORDER-NON EPO-PO,2007,108
1382,VIOL OF EMERG PROTECTIVE ORDER,2007,70
1383,VIOL OF PARK CURFEW,2007,77
1384,VIOL OF PROTECTIVE ORDER,2007,117
1385,VIOL STATE LAW - OTHER,2007,299
1386,VIOL STAY AWAY ORDER,2007,1
1387,VOCO - ALCOHOL  CONSUMPTION,2007,364
1388,VOCO AMPLIFIED MUSIC/VEHICLE,2007,348
1389,VOCO SOLICITATION PROHIBIT,2007,284
1390,WARRANT ARREST NON TRAFFIC,2007,957
1391,WEAPON VIOL - OTHER,2007,10
1392,ABUSE OF OFFICIAL CAPACITY,2008,1
1393,AGG ASLT W/MOTOR VEH FAM/DAT V,2008,25
1394,AGG ASSAULT,2008,440
1395,AGG ASSAULT FAM/DATE VIOLENCE,2008,361
1396,AGG ASSAULT ON PUBLIC SERVANT,2008,4
1397,AGG ASSAULT WITH MOTOR VEH,2008,65
1398,AGG FORCED SODOMY,2008,2
1399,AGG FORCED SODOMY OF CHILD,2008,9
1400,AGG KIDNAPPING,2008,4
1401,AGG KIDNAPPING FAM VIO,2008,1
1402,AGG PROMOTION OF PROSTITUTION,2008,1
1403,AGG RAPE,2008,14
1404,AGG RAPE OF A CHILD,2008,16
1405,AGG ROBBERY BY ASSAULT,2008,13
1406,AGG ROBBERY/DEADLY WEAPON,2008,286
1407,AGG SEXUAL ASSAULT CHILD/OBJEC,2008,122
1408,AGG SEXUAL ASSAULT W OBJECT,2008,3
1409,AIRPORT - CRIMINAL TRESPASS,2008,1
1410,AIRPORT - FEDERAL VIOL,2008,3
1411,AIRPORT PLACES WEAPON PROHIBIT,2008,1
1412,APPLIC TO REVOKE PROBATION,2008,159
1413,ARSON,2008,34
1414,ASSAULT BY CONTACT,2008,596
1415,ASSAULT BY CONTACT FAM/DATING,2008,353
1416,ASSAULT BY THREAT,2008,494
1417,ASSAULT BY THREAT FAM/DATING,2008,118
1418,ASSAULT ON PUBLIC SERVANT,2008,36
1419,ASSAULT W/INJURY-FAM/DATE VIOL,2008,2898
1420,ASSAULT WITH INJURY,2008,1113
1421,ATT AUTO THEFT,2008,18
1422,ATT BURGLARY OF RESIDENCE,2008,1
1423,AUTO THEFT,2008,1101
1424,BANK KITING,2008,3
1425,BOMB THREAT,2008,8
1426,BREACH OF COMPUTER SECURITY,2008,15
1427,BRIBERY,2008,3
1428,BURG OF RES - FAM/DATING ASLT,2008,34
1429,BURGLARY NON RESIDENCE,2008,1378
1430,BURGLARY OF COIN-OP MACHINE,2008,50
1431,BURGLARY OF RESIDENCE,2008,3215
1432,BURGLARY OF VEHICLE,2008,6744
1433,CAMPING IN PARK,2008,578
1434,CAPITAL MURDER,2008,2
1435,CHILD CUSTODY INTERFERE,2008,48
1436,CHILD ENDANGERMENT- ABANDONMEN,2008,199
1437,CIVIL DISTURBANCE/DEMO,2008,24
1438,CONT SEX ABUSE OF CHILD,2008,3
1439,COUNTERFEITING,2008,44
1440,CRASH/FAIL STOP AND RENDER AID,2008,74
1441,CRASH/INTOXICATION ASSAULT,2008,8
1442,CRASH/MANSLAUGHTER,2008,1
1443,CRED CARD ABUSE - EXPIR-CANCEL,2008,1
1444,CRED CARD ABUSE - OTHER,2008,421
1445,CRED CARD ABUSE BY FORGERY,2008,307
1446,CRIMINAL MISCHIEF,2008,4719
1447,CRIMINAL MISCHIEF BY ARSON,2008,8
1448,CRIMINAL SOLICITATION OF MINOR,2008,8
1449,CRIMINAL TRESPASS,2008,1260
1450,CRIMINAL TRESPASS/HOTEL,2008,42
1451,CRIMINAL TRESPASS/TRANSIENT,2008,432
1452,CRUELTY TO ANIMALS,2008,85
1453,CUSTODY ARREST TRAFFIC WARR,2008,1423
1454,DAMAGE CITY PROP,2008,150
1455,DANG DRUG VIOL - OTHER,2008,2
1456,DATING DISTURBANCE,2008,170
1457,DEADLY CONDUCT,2008,49
1458,DEADLY CONDUCT FAM/DATE VIOL,2008,1
1459,DEBIT CARD ABUSE,2008,314
1460,DEL CONTROLLED SUB/NARCOTIC,2008,151
1461,DEL CONTROLLED SUB/OTHER,2008,4
1462,DEL CONTROLLED SUB/SYN NARC,2008,1
1463,DEL MARIJUANA,2008,2
1464,DEL OF ALCOHOL TO MINOR,2008,1
1465,DEPENDENT AND NEGLECTED CHILD,2008,1
1466,DISPOSAL OF SOLID WASTE,2008,3
1467,DISRUPTION OF CLASSES,2008,6
1468,DISTRIB HARMFUL MATERIAL MINOR,2008,1
1469,DISTURBANCE - OTHER,2008,1663
1470,DOC ABUSE OR THREAT,2008,12
1471,DOC ABUSIVE LANGUAGE,2008,48
1472,DOC DISCHARGE GUN - PUB PLACE,2008,7
1473,DOC DISCHARGE GUN - PUB ROAD,2008,2
1474,DOC DISPLAY GUN/DEADLY PUB PLC,2008,28
1475,DOC EXPOSURE,2008,32
1476,DOC FIGHTING,2008,86
1477,DOC OFFENSIVE GESTURE,2008,22
1478,DOC UNREASONABLE NOISE,2008,66
1479,DOC WINDOW PEEPING - HOTEL,2008,1
1480,DOC WINDOW PEEPING - PUB AREA,2008,2
1481,DOC WINDOW PEEPING-RESIDENCE,2008,32
1482,DRIVING WHILE INTOX / FELONY,2008,106
1483,DUI - AGE 16 AND UNDER,2008,3
1484,DUI - AGE 17 TO 20,2008,56
1485,DUMPING REFUSE NEAR HIGHWAY,2008,30
1486,DWI,2008,2336
1487,DWI - CHILD PASSENGER,2008,42
1488,DWI - DRUG RECOGNITION EXPERT,2008,5
1489,DWI 2ND,2008,267
1490,ENTICING A CHILD,2008,10
1491,ESCAPE FROM CUSTODY,2008,2
1492,EVADING / FOOT,2008,98
1493,EVADING / VEHICLE PURSUIT,2008,23
1494,EVADING VEHICLE,2008,74
1495,EXP-VIOL CITY ORDINANCE - TAXI,2008,2
1496,EXPLOSIVE ORDNANCE DISPOSAL,2008,51
1497,FAILURE TO IDENTIFY,2008,327
1498,FAILURE TO REG AS SEX OFFENDER,2008,49
1499,FALSE ALARM OR REPORT,2008,33
1500,FALSE REPORT TO PEACE OFFICER,2008,29
1501,FALSE STATEMENT -OBTAIN CREDIT,2008,23
1502,FAMILY DISTURBANCE,2008,5390
1503,FAMILY DISTURBANCE/PARENTAL,2008,404
1504,FEDERAL VIOL/OTHER,2008,14
1505,FELONY ENHANCEMENT/ASSLT W/INJ,2008,238
1506,FORCED SODOMY,2008,28
1507,FORGERY - OTHER,2008,113
1508,FORGERY AND PASSING,2008,430
1509,FORGERY BY ALTERATION,2008,33
1510,FORGERY BY MAKING,2008,104
1511,FORGERY OF IDENTIFICATION,2008,11
1512,FORGERY- CERTIFICATE OF TITLE,2008,2
1513,FRAUD - OTHER,2008,369
1514,FRAUD DESTRUCTION OF A WRITING,2008,2
1515,FRAUD FILING FINANCE STATEMENT,2008,2
1516,GAMBLING,2008,29
1517,GAMBLING PROMOTION,2008,4
1518,GRAFFITI,2008,541
1519,HARASSMENT,2008,2559
1520,HARASSMENT OF A PUBLIC SERVANT,2008,6
1521,HARASSMENT ONLINE,2008,1
1522,HARBORING RUNAWAY CHILD,2008,5
1523,HAZING,2008,1
1524,HINDER SECURED CREDITORS,2008,20
1525,HINDERING APPREHENSION,2008,18
1526,IDENTITY THEFT,2008,792
1527,IDENTITY THEFT-TAX RETURNS,2008,2
1528,ILLEGAL TRANSPORTATION OF LIQ,2008,1
1529,IMMIGRATION HOLD/ARREST,2008,9
1530,IMPERSONATING PUBLIC SERVANT,2008,23
1531,INDECENCY WITH A CHILD/CONTACT,2008,248
1532,INDECENCY WITH CHILD/EXPOSURE,2008,26
1533,INDECENT EXPOSURE,2008,49
1534,INHALANT ABUSE,2008,2
1535,INJ TO DISABLED  FAM/DATE VIOL,2008,6
1536,INJ TO ELDERLY   FAM/DATE VIOL,2008,13
1537,INJ/CHILD FV (NO CARE/CUSTODY),2008,5
1538,INJURY DISABLED INDIVIDUAL,2008,20
1539,INJURY TO CHILD,2008,71
1540,INJURY TO CHILD (CARE/CUSTODY),2008,122
1541,INJURY TO ELDERLY PERSON,2008,15
1542,INTER EMERG PHONECALL FAM/DATE,2008,16
1543,INTERFERE W PO SERVICE ANIMALS,2008,2
1544,INTERFERENCE PUBLIC DUTIES,2008,7
1545,INTERFERING W/EMERG PHONE CALL,2008,8
1546,INVASIVE VISUAL RECORDING,2008,15
1547,KEEPING GAMBLING PLACE,2008,2
1548,KIDNAPPING,2008,6
1549,KIDNAPPING FAM VIO,2008,1
1550,LIQUOR LAW VIOLATION/OTHER,2008,97
1551,LITTERING,2008,88
1552,MAKING TOBACCO AVAIL TO MINOR,2008,4
1553,MANF CONTROLLED SUB - OTHER,2008,3
1554,MANF CONTROLLED SUB- SYN NARC,2008,1
1555,MANSLAUGHTER,2008,1
1556,MISAPPLY FIDUCIARY PROP,2008,9
1557,MONEY LAUNDERING,2008,2
1558,MURDER,2008,7
1559,NUISANCE ABATEMENT,2008,39
1560,OBSCENE DISPLAY - DISTRIBUTION,2008,1
1561,OBSCENITY,2008,1
1562,OBTAIN CONTROLLED SUB BY FRAUD,2008,21
1563,PAROLE VIOL,2008,43
1564,PIGEON DROP,2008,6
1565,POCKET PICKING,2008,2
1566,POSS CONTROLLED SUB/NARCOTIC,2008,911
1567,POSS CONTROLLED SUB/OTHER,2008,69
1568,POSS CONTROLLED SUB/SYN NARC,2008,31
1569,POSS CRIMINAL INSTRUMENT,2008,2
1570,POSS DANG DRUG,2008,77
1571,POSS OF ALCOHOL - AGE 17 TO 20,2008,121
1572,POSS OF ALCOHOL-AGE 16 & UNDER,2008,14
1573,POSS OF DRUG PARAPHERNALIA,2008,1861
1574,POSS OF FIREARM BY FELON,2008,23
1575,POSS OF PROHIBITED WEAPON,2008,39
1576,POSS/PROMO CHILD PORNOGRAPHY,2008,13
1577,POSSESSION OF FORGED WRITING,2008,1
1578,POSSESSION OF MARIJUANA,2008,684
1579,PROBATION VIOL,2008,30
1580,PROMOTION OF PROSTITUTION,2008,5
1581,PROSTITUTION,2008,113
1582,PROTECTIVE ORDER,2008,221
1583,PROWLER,2008,32
1584,PUBLIC INTOXICATION,2008,2341
1585,PUBLIC LEWDNESS,2008,12
1586,PURSE SNATCHING,2008,2
1587,RAPE,2008,168
1588,RAPE OF A CHILD,2008,13
1589,RECKLESS CONDUCT,2008,6
1590,RECKLESS DAMAGE,2008,10
1591,RESISTING ARREST OR SEARCH,2008,33
1592,RETALIATION,2008,30
1593,ROBBERY BY ASSAULT,2008,208
1594,ROBBERY BY THREAT,2008,42
1595,RUNAWAY CHILD,2008,1297
1596,SALE OF LIQ IN PROHIB AREA,2008,1
1597,SERIOUS INJURY TO A CHILD,2008,11
1598,SEXUAL ASSAULT OF CHILD/OBJECT,2008,222
1599,SEXUAL ASSAULT W/ OBJECT,2008,65
1600,SEXUAL PERFORMANCE BY CHILD,2008,2
1601,SIT AND LIE ORDINANCE VIOL,2008,153
1602,SMUGGLING ILLEGAL ALIEN,2008,1
1603,STALKING,2008,67
1604,STATUTORY RAPE OF CHILD,2008,10
1605,SUSPICIOUS PERSON,2008,730
1606,TAKE WEAPON FRM POLICE OFFICER,2008,2
1607,TAMPERING WITH CONSUMER PROD,2008,4
1608,TAMPERING WITH EVIDENCE,2008,9
1609,TAMPERING WITH GOV RECORD,2008,19
1610,TERRORISTIC THREAT,2008,531
1611,TERRORISTIC THREAT-FAM/DAT VIO,2008,178
1612,THEFT,2008,5813
1613,THEFT BY CHECK,2008,51
1614,THEFT BY EMBEZZLEMENT,2008,8
1615,THEFT BY EXTORTION,2008,1
1616,THEFT BY FALSE PRETEXT/BUNCO,2008,4
1617,THEFT BY SHOPLIFTING,2008,90
1618,THEFT FROM AUTO,2008,332
1619,THEFT FROM BUILDING,2008,20
1620,THEFT FROM PERSON,2008,125
1621,THEFT OF AUTO PARTS,2008,114
1622,THEFT OF BICYCLE,2008,494
1623,THEFT OF HEAVY EQUIPMENT,2008,5
1624,THEFT OF LICENSE PLATE,2008,164
1625,THEFT OF METAL,2008,4
1626,THEFT OF SERVICE,2008,395
1627,THEFT OF TRAILER,2008,65
1628,THEFT- APPROPRIATE STOLEN PROP,2008,4
1629,THEFT/TILL TAPPING,2008,2
1630,TOBACCO VIOL - AGE 17,2008,17
1631,TOBACCO VIOL - UNDER AGE 17,2008,34
1632,TRAFFICKING OF PERSONS,2008,6
1633,TRUANCY,2008,4
1634,UCW LICENSE PREMISE,2008,4
1635,UNLAWFUL CARRY-LIC HOLDER,2008,4
1636,UNLAWFUL CARRYING WEAPON,2008,93
1637,UNLAWFUL RESTRAINT,2008,15
1638,UNLAWFUL RESTRAINT FAM/DAT VIO,2008,4
1639,URINATING IN PUBLIC PLACE,2008,160
1640,VIOL CITY ORDINANCE -  GAME RM,2008,2
1641,VIOL CITY ORDINANCE - AIRPORT,2008,1
1642,VIOL CITY ORDINANCE - CURFEW,2008,325
1643,VIOL CITY ORDINANCE - DOG,2008,77
1644,VIOL CITY ORDINANCE - OTHER,2008,1100
1645,VIOL CITY ORDINANCE - SMOKING,2008,2
1646,VIOL CITY ORDINANCE - SOUND,2008,12
1647,VIOL CITY ORDINANCE - TAXI,2008,2
1648,VIOL CITY ORDINANCE - TITLE 10,2008,1
1649,VIOL CITY ORDINANCE - WRECKER,2008,114
1650,VIOL CITY ORDINANCE -FIREWORK,2008,11
1651,VIOL GLASS CONTAINER,2008,18
1652,VIOL OF COURT ORDER-NON EPO-PO,2008,194
1653,VIOL OF EMERG PROTECTIVE ORDER,2008,76
1654,VIOL OF PARK CURFEW,2008,170
1655,VIOL OF PROTECTIVE ORDER,2008,126
1656,VIOL STATE LAW - OTHER,2008,372
1657,VIOL STAY AWAY ORDER,2008,2
1658,VIOL TEMP EX PARTE  ORDER,2008,7
1659,VIOL WATER SAFETY ACT,2008,4
1660,VOCO - ALCOHOL  CONSUMPTION,2008,512
1661,VOCO AMPLIFIED MUSIC/VEHICLE,2008,337
1662,VOCO SOLICITATION PROHIBIT,2008,376
1663,WARRANT ARREST NON TRAFFIC,2008,1463
1664,WEAPON VIOL - OTHER,2008,15
1665,ABUSE OF OFFICIAL CAPACITY,2009,1
1666,AGG ASLT ENHANC STRANGL/SUFFOC,2009,10
1667,AGG ASLT STRANGLE/SUFFOCATE,2009,50
1668,AGG ASLT W/MOTOR VEH FAM/DAT V,2009,24
1669,AGG ASSAULT,2009,370
1670,AGG ASSAULT FAM/DATE VIOLENCE,2009,331
1671,AGG ASSAULT ON PUBLIC SERVANT,2009,11
1672,AGG ASSAULT WITH MOTOR VEH,2009,51
1673,AGG FORCED SODOMY,2009,3
1674,AGG KIDNAPPING,2009,3
1675,AGG PROMOTION OF PROSTITUTION,2009,1
1676,AGG RAPE,2009,13
1677,AGG RAPE OF A CHILD,2009,18
1678,AGG ROBBERY BY ASSAULT,2009,13
1679,AGG ROBBERY/DEADLY WEAPON,2009,303
1680,AGG SEXUAL ASSAULT CHILD/OBJEC,2009,98
1681,AGG SEXUAL ASSAULT W OBJECT,2009,2
1682,AIRPORT PLACES WEAPON PROHIBIT,2009,2
1683,AMPLIFIED MUSIC / VEHICLE,2009,1
1684,APPLIC TO REVOKE PROBATION,2009,93
1685,ARSON,2009,37
1686,ARSON WITH BODILY INJURY,2009,1
1687,ASSAULT BY CONTACT,2009,542
1688,ASSAULT BY CONTACT FAM/DATING,2009,267
1689,ASSAULT BY THREAT,2009,435
1690,ASSAULT BY THREAT FAM/DATING,2009,104
1691,ASSAULT ON PUBLIC SERVANT,2009,44
1692,ASSAULT W/INJURY-FAM/DATE VIOL,2009,2803
1693,ASSAULT WITH INJURY,2009,1107
1694,ATTACK ON ASSISTANCE ANIMAL,2009,1
1695,AUTO THEFT,2009,991
1696,BANK KITING,2009,1
1697,BOMB THREAT,2009,5
1698,BOMB THREAT - AIRCRAFT,2009,1
1699,BREACH OF COMPUTER SECURITY,2009,32
1700,BURG OF RES - FAM/DATING ASLT,2009,31
1701,BURGLARY NON RESIDENCE,2009,1176
1702,BURGLARY OF COIN-OP MACHINE,2009,40
1703,BURGLARY OF RESIDENCE,2009,3847
1704,BURGLARY OF VEHICLE,2009,7974
1705,BWI-EXPIRED USE 2110,2009,1
1706,CAMPING IN PARK,2009,371
1707,CAPITAL MURDER,2009,2
1708,CHILD CUSTODY INTERFERE,2009,37
1709,CHILD ENDANGERMENT- ABANDONMEN,2009,199
1710,CIVIL DISTURBANCE/DEMO,2009,27
1711,COMMUNICATING GAMBLING INFO,2009,1
1712,COMPELLING PROSTITUTION,2009,1
1713,CONT SEX ABUSE OF CHILD,2009,2
1714,COUNTERFEITING,2009,63
1715,CRASH/FAIL STOP AND RENDER AID,2009,99
1716,CRASH/INTOX MANSLAUGHTER,2009,1
1717,CRASH/INTOXICATION ASSAULT,2009,3
1718,CRASH/MANSLAUGHTER,2009,1
1719,CRED CARD ABUSE - OTHER,2009,405
1720,CRED CARD ABUSE BY FORGERY,2009,211
1721,CRIMES AGAINST ELDERLY,2009,1
1722,CRIMINAL CONSPIRACY,2009,2
1723,CRIMINAL MISCHIEF,2009,4272
1724,CRIMINAL MISCHIEF BY ARSON,2009,7
1725,CRIMINAL SOLICITATION,2009,1
1726,CRIMINAL SOLICITATION OF MINOR,2009,5
1727,CRIMINAL TRESPASS,2009,1189
1728,CRIMINAL TRESPASS/HOTEL,2009,45
1729,CRIMINAL TRESPASS/TRANSIENT,2009,471
1730,CRUELTY TO ANIMALS,2009,95
1731,CUSTODY ARREST TRAFFIC WARR,2009,1776
1732,DAMAGE CITY PROP,2009,152
1733,DANG DRUG VIOL - OTHER,2009,2
1734,DATING DISTURBANCE,2009,254
1735,DEADLY CONDUCT,2009,52
1736,DEBIT CARD ABUSE,2009,439
1737,DEL CONTROLLED SUB/NARCOTIC,2009,179
1738,DEL CONTROLLED SUB/OTHER,2009,7
1739,DEL CONTROLLED SUB/SYN NARC,2009,4
1740,DEL MARIJUANA,2009,9
1741,DEL OF ALCOHOL TO MINOR,2009,2
1742,DEPENDENT AND NEGLECTED CHILD,2009,5
1743,DESERTION,2009,1
1744,DISPOSAL OF SOLID WASTE,2009,1
1745,DISRUPTION OF CLASSES,2009,2
1746,DISTRIB HARMFUL MATERIAL MINOR,2009,3
1747,DISTURBANCE - OTHER,2009,1968
1748,DOC ABUSE OR THREAT,2009,6
1749,DOC ABUSIVE LANGUAGE,2009,23
1750,DOC CREATING NOXIOUS ODOR,2009,1
1751,DOC DISCHARGE GUN - PUB PLACE,2009,14
1752,DOC DISCHARGE GUN - PUB ROAD,2009,4
1753,DOC DISPLAY GUN/DEADLY PUB PLC,2009,29
1754,DOC EXPOSURE,2009,28
1755,DOC FIGHTING,2009,78
1756,DOC OFFENSIVE GESTURE,2009,8
1757,DOC UNREASONABLE NOISE,2009,75
1758,DOC WINDOW PEEPING - HOTEL,2009,1
1759,DOC WINDOW PEEPING-RESIDENCE,2009,31
1760,DRIVING WHILE INTOX / FELONY,2009,102
1761,DUI - AGE 16 AND UNDER,2009,4
1762,DUI - AGE 17 TO 20,2009,38
1763,DUMPING REFUSE NEAR HIGHWAY,2009,12
1764,DWI,2009,1976
1765,DWI - CHILD PASSENGER,2009,25
1766,DWI - DRUG RECOGNITION EXPERT,2009,1
1767,DWI 2ND,2009,257
1768,ENTICING A CHILD,2009,2
1769,ESCAPE FROM CUSTODY,2009,4
1770,EVADING / FOOT,2009,108
1771,EVADING / VEHICLE PURSUIT,2009,21
1772,EVADING VEHICLE,2009,72
1773,EXPLOSIVE ORDNANCE DISPOSAL,2009,32
1774,FAILURE TO IDENTIFY,2009,292
1775,FAILURE TO REG AS SEX OFFENDER,2009,66
1776,FALSE ALARM OR REPORT,2009,29
1777,FALSE ID AS A PEACE OFFICER,2009,2
1778,FALSE REPORT TO CPS,2009,1
1779,FALSE REPORT TO PEACE OFFICER,2009,30
1780,FALSE STATEMENT -OBTAIN CREDIT,2009,13
1781,FAMILY DISTURBANCE,2009,5189
1782,FAMILY DISTURBANCE/PARENTAL,2009,396
1783,FEDERAL VIOL/OTHER,2009,20
1784,FELONY ENHANCEMENT/ASSLT W/INJ,2009,225
1785,FIREARMS ON SCHOOL PROP,2009,1
1786,FORCED SODOMY,2009,39
1787,FORCED SODOMY OF CHILD,2009,1
1788,FORGERY - OTHER,2009,71
1789,FORGERY AND PASSING,2009,342
1790,FORGERY BY ALTERATION,2009,19
1791,FORGERY BY MAKING,2009,93
1792,FORGERY OF IDENTIFICATION,2009,10
1793,FORGERY- CERTIFICATE OF TITLE,2009,3
1794,FRAUD - OTHER,2009,456
1795,FRAUD DESTRUCTION OF A WRITING,2009,5
1796,FRAUD FILING FINANCE STATEMENT,2009,1
1797,GAMBLING,2009,34
1798,GAMBLING PROMOTION,2009,3
1799,GRAFFITI,2009,389
1800,HARASSMENT,2009,2832
1801,HARASSMENT OF A PUBLIC SERVANT,2009,3
1802,HARASSMENT ONLINE,2009,6
1803,HARBORING RUNAWAY CHILD,2009,6
1804,HINDER SECURED CREDITORS,2009,19
1805,HINDERING APPREHENSION,2009,4
1806,IDENTITY THEFT,2009,777
1807,ILLEGAL LABELLING OF RECORDING,2009,1
1808,ILLUMIN AIRCRAFT INTENSE LIGHT,2009,1
1809,IMMIGRATION HOLD/ARREST,2009,9
1810,IMPERSONATING PUBLIC SERVANT,2009,17
1811,INCEST-PROHIBITED SEX CONDUCT,2009,1
1812,INDECENCY WITH A CHILD/CONTACT,2009,266
1813,INDECENCY WITH CHILD/EXPOSURE,2009,12
1814,INDECENT EXPOSURE,2009,39
1815,INHALANT ABUSE,2009,3
1816,INJ TO DISABLED  FAM/DATE VIOL,2009,10
1817,INJ TO ELDERLY   FAM/DATE VIOL,2009,19
1818,INJ/CHILD FV (NO CARE/CUSTODY),2009,9
1819,INJURY DISABLED INDIVIDUAL,2009,11
